UID        PID  PPID  C STIME TTY          TIME CMD
100       1185  1152  0 Mar06 ?        00:00:00 /usr/bin/dumb-init /bin/sh /usr/local/bin/docker-entrypoint.sh consul agent -node=ip-100-66-2-4.af-south-1.compute.internal -advertise=100.66.2.65 -bind=0.0.0.0 -client=0.0.0.0 -node-meta=host-ip:100.66.2.4 -node-meta=pod-name:consul-client-llq6l -hcl=leave_on_terminate = true -hcl=ports { grpc = 8502 } -config-dir=/consul/config -config-dir=/consul/aclconfig -datacenter=dc1 -data-dir=/consul/data -retry-join=consul-server-0.consul-server.persistent.svc:8301 -retry-join=consul-server-1.consul-server.persistent.svc:8301 -retry-join=consul-server-2.consul-server.persistent.svc:8301 -config-file=/consul/extra-config/extra-from-values.json -domain=consul
100       1215  1185  0 Mar06 ?        00:41:11 consul agent -node=ip-100-66-2-4.af-south-1.compute.internal -advertise=100.66.2.65 -bind=0.0.0.0 -client=0.0.0.0 -node-meta=host-ip:100.66.2.4 -node-meta=pod-name:consul-client-llq6l -hcl=leave_on_terminate = true -hcl=ports { grpc = 8502 } -config-dir=/consul/config -config-dir=/consul/aclconfig -datacenter=dc1 -data-dir=/consul/data -retry-join=consul-server-0.consul-server.persistent.svc:8301 -retry-join=consul-server-1.consul-server.persistent.svc:8301 -retry-join=consul-server-2.consul-server.persistent.svc:8301 -config-file=/consul/extra-config/extra-from-values.json -domain=consul
root      1226  3870  0 Mar06 ?        00:00:22 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/928ea38438f48706ab8a12b41da9a3a15c5bfbfaa6716e610e5c49dde2cbcf79 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
1337      1261  1226  0 Mar06 ?        00:06:14 /usr/local/bin/pilot-agent proxy sidecar --domain persistent.svc.cluster.local --proxyLogLevel=warning --proxyComponentLogLevel=misc:error --log_output_level=default:info --concurrency 2
1337      1308  1261  0 Mar06 ?        00:29:38 /usr/local/bin/envoy -c etc/istio/proxy/envoy-rev0.json --restart-epoch 0 --drain-time-s 45 --drain-strategy immediate --parent-shutdown-time-s 60 --local-address-ip-version v4 --file-flush-interval-msec 1000 --disable-hot-restart --log-format %Y-%m-%dT%T.%fZ?%l?envoy %n?%v -l warning --component-log-level misc:error --concurrency 2
root      1383     2  0 Mar04 ?        00:00:00 [xfs-buf/nvme0n1]
root      1384     2  0 Mar04 ?        00:00:00 [xfs-conv/nvme0n]
root      1385     2  0 Mar04 ?        00:00:00 [xfs-cil/nvme0n1]
root      1386     2  0 Mar04 ?        00:00:00 [xfs-reclaim/nvm]
root      1387     2  0 Mar04 ?        00:00:00 [xfs-eofblocks/n]
root      1388     2  0 Mar04 ?        00:00:00 [xfs-log/nvme0n1]
root      1389     2  0 Mar04 ?        00:04:01 [xfsaild/nvme0n1]
root      1390     2  0 Mar04 ?        00:00:15 [kworker/1:1H-kb]
root      1451     1  0 Mar04 ?        00:01:13 /usr/lib/systemd/systemd-journald
ccsadmin  1470 17636  0 06:14 ?        00:00:00 postgres: postgres midpoint 127.0.0.6(57231) idle
root      1734     1  0 Mar04 ?        00:00:00 /usr/sbin/lvmetad -f
root      1760     1  0 Mar04 ?        00:00:01 /usr/lib/systemd/systemd-udevd
root      1950     2  0 Mar04 ?        00:00:00 [ena]
root      2017     2  0 Mar04 ?        00:00:12 [kworker/0:1H-kb]
ccsadmin  2303 17636  0 07:20 ?        00:00:00 postgres: postgres midpoint 127.0.0.6(33281) idle
root      2688     2  0 Mar04 ?        00:00:00 [cryptd]
root      2902     1  0 Mar04 ?        00:00:01 /sbin/auditd
root      2970     2  0 Mar04 ?        00:00:00 [rpciod]
root      2971     2  0 Mar04 ?        00:00:00 [kworker/u9:0]
root      2972     2  0 Mar04 ?        00:00:00 [xprtiod]
rpc       3028     1  0 Mar04 ?        00:00:00 /sbin/rpcbind -w
dbus      3081     1  0 Mar04 ?        00:02:12 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root      3122     1  0 Mar04 ?        00:00:01 /usr/sbin/sssd -i --logger=files
ccsadmin  3155 17636  0 07:20 ?        00:00:00 postgres: postgres midpoint ip-127-0-0-6.af-south-1.compute.internal(40901) idle
ntp       3199     1  0 Mar04 ?        00:00:51 /usr/sbin/ntpd -u ntp:ntp -g
root      3234     1  0 Mar04 ?        00:00:33 /usr/sbin/irqbalance --foreground
rngd      3279     1  0 Mar04 ?        00:01:06 /sbin/rngd -f --fill-watermark=0 --exclude=jitter
root      3385     1  0 Mar04 ?        00:00:00 /usr/sbin/gssproxy -D
root      3414  3122  0 Mar04 ?        00:00:09 /usr/libexec/sssd/sssd_be --domain EDldap --uid 0 --gid 0 --logger=files
root      3427  3122  0 Mar04 ?        00:00:06 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
root      3428  3122  0 Mar04 ?        00:00:06 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --logger=files
root      3431     1  0 Mar04 ?        00:00:58 /usr/lib/systemd/systemd-logind
root      3710     1  0 Mar04 ?        00:00:00 /sbin/dhclient -q -lf /var/lib/dhclient/dhclient--eth0.lease -pf /var/run/dhclient-eth0.pid eth0
root      3747     1  0 Mar04 ?        00:00:01 /sbin/dhclient -6 -nw -lf /var/lib/dhclient/dhclient6--eth0.lease -pf /var/run/dhclient6-eth0.pid eth0
root      3802     1  0 Mar04 ?        00:00:00 /usr/sbin/oddjobd -n -p /var/run/oddjobd.pid -t 300
root      3870     1  0 Mar04 ?        02:34:44 /usr/bin/containerd
root      4024     1  0 Mar04 ?        00:00:02 /usr/libexec/postfix/master -w
ccsadmin  4025 17636  0 06:28 ?        00:00:00 postgres: postgres midpoint 127.0.0.6(40103) idle
postfix   4062  4024  0 Mar04 ?        00:00:00 qmgr -l -t unix -u
root      4183     1  0 Mar04 ?        00:00:55 /usr/bin/amazon-ssm-agent
root      4207     1  0 Mar04 ?        00:01:20 /usr/sbin/rsyslogd -n
rpcuser   4285     1  0 Mar04 ?        00:00:00 /usr/sbin/rpc.statd
root      4333     1  0 Mar04 ttyS0    00:00:00 /sbin/agetty --keep-baud 115200,38400,9600 ttyS0 vt220
root      4340     1  0 Mar04 ?        00:00:01 /usr/sbin/crond -n
root      4358     1  0 Mar04 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
